"Response ID","Date","Identity","IP Address","Page","Referrer","User Agent","Question","Answer","Watson: Sentiment","Watson: Sentiment Score","Watson Emotion: sadness","Watson Emotion: joy","Watson Emotion: fear","Watson Emotion: disgust","Watson Emotion: anger","Watson: Keywords"
"224772629","2021-08-24 08:40:33 UTC","","0.0.0.207","http://youtube.com/jack","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the likelihood that you would recommend [company or product] to a friend or colleague?","5","","","","","","","",""
"224772629","2021-08-24 08:40:33 UTC","","0.0.0.207","http://youtube.com/jack","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the reason for your answer?","The mind is not a vessel to be filled but a fire to be kindled.","","","","","","","",""
"224772630","2021-08-24 19:04:43 UTC","","0.0.0.193","http://youtube.com/hunter_haley","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the likelihood that you would recommend [company or product] to a friend or colleague?","8","","","","","","","",""
"224772630","2021-08-24 19:04:43 UTC","","0.0.0.193","http://youtube.com/hunter_haley","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the reason for your answer?","Good habits formed at youth make all the difference.","","","","","","","",""
"224772631","2021-08-24 00:39:31 UTC","","0.0.0.25","http://youtube.com/jeanetta","","Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.7; AOLBuild 4343.19; Windows NT 6.1; WOW64; Trident/5.0; FunWebProducts)","What is the likelihood that you would recommend [company or product] to a friend or colleague?","2","","","","","","","",""
"224772631","2021-08-24 00:39:31 UTC","","0.0.0.25","http://youtube.com/jeanetta","","Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.7; AOLBuild 4343.19; Windows NT 6.1; WOW64; Trident/5.0; FunWebProducts)","What is the reason for your answer?","It is impossible to begin to learn that which one thinks one already knows.","","","","","","","",""
"224772632","2021-08-24 14:54:12 UTC","","0.0.0.218","http://youtube.com/dannette","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the likelihood that you would recommend [company or product] to a friend or colleague?","6","","","","","","","",""
"224772632","2021-08-24 14:54:12 UTC","","0.0.0.218","http://youtube.com/dannette","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the reason for your answer?","Pleasure in the job puts perfection in the work.","","","","","","","",""
"224772633","2021-08-24 21:53:11 UTC","","0.0.0.200","http://youtube.com/cedrick_cummings","","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko","What is the likelihood that you would recommend [company or product] to a friend or colleague?","9","","","","","","","",""
"224772633","2021-08-24 21:53:11 UTC","","0.0.0.200","http://youtube.com/cedrick_cummings","","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko","What is the reason for your answer?","It's not what happens to you, but how you react to it that matters.","","","","","","","",""
"224772634","2021-08-24 18:20:57 UTC","","0.0.0.22","http://youtube.com/matt.lakin","","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko","What is the likelihood that you would recommend [company or product] to a friend or colleague?","8","","","","","","","",""
"224772634","2021-08-24 18:20:57 UTC","","0.0.0.22","http://youtube.com/matt.lakin","","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko","What is the reason for your answer?","Dignity does not consist in possessing honors, but in deserving them.","","","","","","","",""
"224772635","2021-08-24 00:05:38 UTC","","0.0.0.116","http://youtube.com/federico.kuvalis","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the likelihood that you would recommend [company or product] to a friend or colleague?","4","","","","","","","",""
"224772635","2021-08-24 00:05:38 UTC","","0.0.0.116","http://youtube.com/federico.kuvalis","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the reason for your answer?","Dignity does not consist in possessing honors, but in deserving them.","","","","","","","",""
"224772636","2021-08-24 21:56:05 UTC","","0.0.0.116","http://youtube.com/elvis","","Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.7; AOLBuild 4343.19; Windows NT 6.1; WOW64; Trident/5.0; FunWebProducts)","What is the likelihood that you would recommend [company or product] to a friend or colleague?","9","","","","","","","",""
"224772636","2021-08-24 21:56:05 UTC","","0.0.0.116","http://youtube.com/elvis","","Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.7; AOLBuild 4343.19; Windows NT 6.1; WOW64; Trident/5.0; FunWebProducts)","What is the reason for your answer?","It's not what happens to you, but how you react to it that matters.","","","","","","","",""
"224772637","2021-08-24 07:22:59 UTC","","0.0.0.15","http://youtube.com/shawn.pouros","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the likelihood that you would recommend [company or product] to a friend or colleague?","9","","","","","","","",""
"224772637","2021-08-24 07:22:59 UTC","","0.0.0.15","http://youtube.com/shawn.pouros","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the reason for your answer?","Know how to listen, and you will profit even from those who talk badly.","","","","","","","",""
"224772638","2021-08-24 21:13:12 UTC","","0.0.0.87","http://youtube.com/pierre_ward","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the likelihood that you would recommend [company or product] to a friend or colleague?","8","","","","","","","",""
"224772638","2021-08-24 21:13:12 UTC","","0.0.0.87","http://youtube.com/pierre_ward","","Mozilla/5.0 (Windows NT x.y; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0","What is the reason for your answer?","Philosophy is the highest music.","","","","","","","",""
"224772639","2021-08-24 05:52:37 UTC","","0.0.0.192","http://youtube.com/fidelia","","Mozilla/5.0 (Windows; U; Win 9x 4.90; SG; rv:1.9.2.4) Gecko/20101104 Netscape/9.1.0285","What is the likelihood that you would recommend [company or product] to a friend or colleague?","7","","","","","","","",""
"224772639","2021-08-24 05:52:37 UTC","","0.0.0.192","http://youtube.com/fidelia","","Mozilla/5.0 (Windows; U; Win 9x 4.90; SG; rv:1.9.2.4) Gecko/20101104 Netscape/9.1.0285","What is the reason for your answer?","Good habits formed at youth make all the difference.","","","","","","","",""
"224772640","2021-08-24 05:15:57 UTC","","0.0.0.152","http://youtube.com/deon","","Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.7; AOLBuild 4343.19; Windows NT 6.1; WOW64; Trident/5.0; FunWebProducts)","What is the likelihood that you would recommend [company or product] to a friend or colleague?","8","","","","","","","",""
"224772640","2021-08-24 05:15:57 UTC","","0.0.0.152","http://youtube.com/deon","","Mozilla/5.0 (compatible; MSIE 9.0; AOL 9.7; AOLBuild 4343.19; Windows NT 6.1; WOW64; Trident/5.0; FunWebProducts)","What is the reason for your answer?","Philosophy is the highest music.","","","","","","","",""
"224772641","2021-08-24 15:09:29 UTC","","0.0.0.144","http://youtube.com/derek","","Opera/9.80 (X11; Linux i686; Ubuntu/14.10) Presto/2.12.388 Version/12.16","What is the likelihood that you would recommend [company or product] to a friend or colleague?","6","","","","","","","",""
"224772641","2021-08-24 15:09:29 UTC","","0.0.0.144","http://youtube.com/derek","","Opera/9.80 (X11; Linux i686; Ubuntu/14.10) Presto/2.12.388 Version/12.16","What is the reason for your answer?","The unexamined life is not worth living.","","","","","","","",""
"224772642","2021-08-24 04:39:41 UTC","","0.0.0.186","http://youtube.com/rosario.muller","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A","What is the likelihood that you would recommend [company or product] to a friend or colleague?","7","","","","","","","",""
"224772642","2021-08-24 04:39:41 UTC","","0.0.0.186","http://youtube.com/rosario.muller","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A","What is the reason for your answer?","Most people would rather give than get affection.","","","","","","","",""
